x,z
Builing for a specific SM number,"Yes. By example:\r\n```\r\nTORCH_CUDA_ARCH_LIST=\""5.2;6.1;7.0\"" python setup.py install\r\n```"
max_pool2d_with_indices: internal error,???
[jit] torch.empty_like is different from eager mode,"I think I can fix this - it's probably not an issue with `empty_like` in particular, but with all optional arguments. https://github.com/pytorch/pytorch/pull/22055 fixes one case of this."
RuntimeError: cuDNN error: CUDNN_STATUS_INTERNAL_ERROR in 1.1.0,"Try to use this command from the [website](https://pytorch.org/get-started/locally/):\r\n```\r\npip3 install torch torchvision\r\n```\r\n\r\nThis should install PyTorch 1.2, CUDA10.0 for Python3.6 on a Linux OS.\r\nJust select whatever config matches your current setup and use the shown install command."
CI failure points to nonexistent code...,fixed via #23304 by @zou3519 :D
torch.onnx._export does not support tensor sum with multiple dims,"@yil8 - yes, you can install the nightly build of PyTorch to test this."
issue with ONNX and PyTorch,"@arijit17 - It is hard to say where exactly the issue is without looking at your model and export code. Could you please share the repro? \r\nFYI - if your model has input-dependent control flow, then ideally you will have to convert those modules to `ScriptModule` and decorate those modules' `forward()` method with with `@torch.jit.script` to enable correct JIT compilation. But once you do that the export process itself should not change.\r\nIf you can share a repro, we might be able to help better."
Wrong distribution sampled by torch.multinomial on CUDA,Closed by #22183
Inplace error if DistributedDataParallel module that contains a buffer is called twice,"The cause here is that by default DDP modules broadcast the contents of the root process module's buffers to all processes at every forward pass, and this broadcasting counts as an inplace operation for the purposes versioning. The fix is to disable the broadcasting by setting `broadcast_buffers=False` in the DDP module constructor. Thanks @pietern for the help."
LR scheduler design bug !,It's in master: you need to compile from source for now.
Segmentation fault Autograd,"@shoukang by any chance you can try installing new Pytorch, we have done a lot in terms of threading recently. And your problem might be related."
Multiple (redundant?) return statements in test_jit.py,"On a side note I think we're not generating in-place kernels at the moment, but it wouldn't be too hard to adjust our codegen to take care of that. We might be able to automatically change them to out-of-place ops and fuse them at that point even now, but idk if we have merged this feature in the end (I worked on it some time ago)."
Why aren't torch.functional.sigmoid and torch.nn.functional.relu deprecated like torch.nn.functional.tanh?,"Actually, in the current code, sigmoid is also deprecated in nn https://github.com/pytorch/pytorch/blob/master/torch/nn/functional.py#L1390. But not relu. Are you now saying that sigmoid is a general purpose mathematical function but relu isn't ?"
Building from source failed. Multiple errors in the printout,"You can find good answer here: https://github.com/torch/torch7/issues/1190#issuecomment-498934400 (credits to @talkenig)\r\n\r\nCopy pasting for future reference:\r\n\r\nHad the same problem and got to the bottom of it. My configuration is a Tesla T4 with 410.92 driver and CUDA 9.2, Ubuntu 18.10.\r\nThe thing is, the torch installer tries for some reason to use the highest compute capability supported by the device (or the driver - not sure which), but ignores the compute capability supported by the CUDA toolkit.\r\nSo, in my case the device supports compute capability 7.5, but CUDA 9.2 supports only 7.0 or 7.2 (not sure which one). You can guess I got the same nvcc fatal : Unsupported gpu architecture 'compute_75'\r\nThe solution is to force the nvcc compile options to use a lower compute capability. This can be achieved by setting the following environment variable:\r\n\r\n`export TORCH_CUDA_ARCH_LIST=\""7.0\""`\r\n\r\nJust before running ./install.sh from the torch directory.\r\nNote that the list may contain more than one compute capability, e.g. it can be \""6.0 6.2 7.0 7.2\"". This will be reflected in the CUDA_NVCC_FLAGS -gencode arch=compute_70,code=sm_70 and those will be outputted to the terminal during the build.\r\n"
[dataloader] Add a context= argument for multiprocessing,"This is expected, because thed spawned workers does not see the dataset def.\n I think the proper way to solve this is to add a `context=` argument to data loader, so that a global start method needs not be set."
Error when converting custom layer with output of tuple to onnx format in pytorch 1.1.0,Thanks for trying with 1.5.1 @kuramawzw3. I see you opened #41440 which is a duplicate of this item. It is better to track this in one place. Can we close #41440?
Sync Batchnorm running var update issue,"Yeah, I have submitted a [PR https://github.com/pytorch/pytorch/pull/22248](https://github.com/pytorch/pytorch/pull/22248), and a fail test looks like some internet issue."
"Torch crashes when calling torch.rand(2,3)",your processor is old enough that it doesn't support SSE4.1/SSE4.2/SSE4.3 instruction. We do not support processors that dont have these features in binaries.\r\nYour only choice is to install from source: https://github.com/pytorch/pytorch#from-source
No method to set the timeout for distributed Gloo backend,"@ejoebstl this would helps a lot, i used to solve this problem by changing the default timeout and recompile the whole pytorch o(╥﹏╥)o"
[PyTorch] Build error (NCCL) on Ubuntu 16.04,"A simple workaround is to set `WITH_SYSTEM_NCCL` to `False` to force compile with provided NCCL. https://github.com/pytorch/pytorch/blob/master/tools/setup_helpers/nccl.py#L74\r\n\r\nAfter modifying this, I can compile PyTorch without error. \r\n"
Error when exiting tutorial script,I am aware of this and will have a fix.
"Anaconda3, Ubuntu 16.04 Python 3.6 Caffe2 installation issue","""It looks like you installed with setup_caffe2.py, as setuptools (the Python package behind setup.py scripts) is what installs .egg files.\r\n\r\nCould you try `pip uninstall caffe2` and `conda install -c caffe2 caffe2-cuda9.0-cudnn7` ? This way should be much faster too.\r\n\r\nIf the pip uninstall caffe2 doesn't seem to work, then you can manually uninstall by deleting every file and folder under /home/sam/anaconda3/envs/caffe36/ that has 'caffe' or 'caffe2' in the name."
"BatchNorm2d when batch size 1 works, what is it doing?",That is normalizing `[B x C x *]` over the dimensions `[*]`
[PyTorch] Dense embedding doesn't work with double backward,"The version on my branch solves the issue. You can follow the PR here. Also if you need the functionality now, it would be great if you could try the code on my branch and let me know if you face any issues.
Thank You."
Advanced indexing doesn't validate negative indexes (regression),Cuda version works through. I'll add a check to TH.
can't rebuild with NO_CUDA=1 after clean,Doing the following seems to have fixed it; I'm not sure which of these is okay for clean to leave around:\r\n`\r\nrm -rf aten/src/ATen/Config.h aten/build/ third_party/build/ third_party/aten/\r\n`
Where is the Caffe2 website?,https://github.com/caffe2/caffe2.github.io
Error building from source CMakeFiles/Makefile2:201: recipe for target 'src/ATen/CMakeFiles/ATen.dir/all' failed,"I had the same problem and renamed `THGeneral.h` from `conda/envs/<ENV_NAME>/` to something similar to what @rgreenblatt  said, and it was installed normally. Good luck to friends who are having the same problem.\r\n\r\n```\r\nmv ~/anaconda3/envs/<ENV_NAME>/include/TH/THGeneral.h ~/anaconda3/envs/<ENV_NAME>/include/TH/THGeneral.h.old\r\n```"
Add `torch.pi` like `numpy.pi` and possibly other constants,Aren't all of those constants in math?
"torch.irfft produces \""cuFFT error: CUFFT_ALLOC_FAILED\"" when called after torch.rfft","Me either, it seems to work now. Maybe you fixed something along the way :) Maybe this can be closed, having fewer temp tensors along the way also helps. Might be even better if complex product gets implemented some day.\nIt would be nice if the OOM exception was some standard PyTorch exception, not a CUDA one."
[feature request] Complex multiplication,One verbose way may be a kwarg `complex = True` to `torch.mul`. Some alternative ideas: `mul_complex` / `mulc`
cuda runtime error (48): no kernel image is available for execution on the device,"Hi, your problem is stated in this warning here\r\n```\r\n/home/azat/anaconda2/lib/python2.7/site-packages/torch/cuda/__init__.py:97: UserWarning:\r\n Found GPU0 GeForce 820M which is of cuda capability 2.1.\r\n PyTorch no longer supports this GPU because it is too old.\r\n```\r\n\r\nYou can build from source to use some functionality, but there are many operations that require compute capability greater than SM_21 to perform."
Stop using undefined tensors to represent zero gradients in engine,going to close this because I believe the issues with undefined tensors in the engine have been addressed.
Proposal: rename upsample to resample,This function has been deprecated in favor of interpolate so I think this issue has been addressed.
RuntimeError for indexing with high dimensional tensor only when using cuda,"As for pytorch 0.4 (nightly build 2018.04.20, installed via conda) this problem does not exist anymore. And the following code works:\r\n```python\r\nimport torch\r\nx = torch.randn(2, 2, 2, 2, 2, 2).cuda()\r\ni = torch.cuda.LongTensor([0, 0, 0, 0, 0, 0])\r\nx[i,:]\r\n```\r\nClosing the issue."
RuntimeError: reduce failed to synchronize: unspecified launch failure,"I was having similar error. Make sure your layer has values that make sense to the BCELoss. If you for example output negative values and pass them to the logarithm, the training will fail.\r\n\r\nIn my case I was missing the last sigmoid activation to shrink the numbers between 0 and 1."
Zombie process when use GPU,"For anyone who still suffer from this issue, try the following command:\r\n`fuser -k /dev/nvidia*`\r\nor\r\n`kill $(lsof -t /dev/nvidia*)`"
torch.HalfTensor' object has no attribute 'mean',"we don't have math for CPU Half type (it would be very slow), convert it to cuda or CPU Float."
import torch; libcublas.so.9.0 error,"I had the exact same linking problem when trying to compile pytorch 0.3 with CUDA 9.1. I couldn't figure out how it manages to find and link to cublas.8. I gave up and installed the `pip` wheel package which contains CUDA, CuDNN everything inside."
